Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in P3,Bach,% change in P3,Beethoven,% change in P3,Chopin,% change in P3,Gibbons,% change in P3,Mozart,Average % change in P3,,,Average % change over all cases,
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,4.166666667,0.115,-28.34008097,0.0708,-27.15654952,0.0228,0,0.1064,-5.890318213,0.139,-11.44405641,,,,
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,,0.1104,,0.0988,,0.0313,,0.1064,,0.1477,,,,,
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,6.520841931,0.2581,-48.03877367,0.2305,-23.01639344,0.1174,-17.86910198,0.2698,-43.8807863,0.2655,-25.25684269,,,,
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,-8.501857202,0.2217,-38.14247069,0.2744,-23.01639344,0.1174,-17.86910198,0.2698,-42.78165293,0.2707,-26.06229525,,,,
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,6.025588114,0.2569,-25.29305681,0.3314,0.06557377,0.1526,0,0.3285,0.295920524,0.4745,-3.78119488,,,,
ForthRCT,Forth,Z,Z,Z,CT,R,,0.2423,,0.4436,,0.1525,,0.3285,,0.4731,,,,,
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,-13.26530612,0.1955,-4.298941799,0.1447,6.188466948,0.0755,-31.6774658,0.1898,-22.99908004,0.1674,-13.21046536,,,,
ReForthR,Forth,Z,RecurSIA,Z,Z,R,-21.02928128,0.178,3.703703704,0.1568,0.281293952,0.0713,-31.6774658,0.1898,-21.57313707,0.1705,-14.0589773,,,,
ForthR-RRT,Forth,Z,Z,RRT,Z,R,14.19698314,0.2574,-11.50793651,0.1338,-0.421940928,0.0708,0,0.2778,0,0.2174,0.453421141,,,,
ForthR,Forth,Z,Z,Z,Z,R,,0.2254,,0.1512,,0.0711,,0.2778,,0.2174,,,,,
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,6.520841931,0.2581,-48.03877367,0.2305,-23.01639344,0.1174,-17.86910198,0.2698,-43.8807863,0.2655,-25.25684269,,,,
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,-8.501857202,0.2217,-38.14247069,0.2744,-23.01639344,0.1174,-17.86910198,0.2698,-42.78165293,0.2707,-26.06229525,,,,
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,6.025588114,0.2569,-25.29305681,0.3314,0.06557377,0.1526,0,0.3285,0.295920524,0.4745,-3.78119488,,,,
ForthCT,Forth,Z,Z,Z,CT,Z,,0.2423,,0.4436,,0.1525,,0.3285,,0.4731,,,,,
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,-0.854700855,0.1276,-42.54049446,0.1348,-1.594202899,0.0679,-32.47373448,0.2121,-18.38150289,0.1412,-19.16892712,,,,
ReForth,Forth,Z,RecurSIA,Z,Z,Z,0,0.1287,-40.36658142,0.1399,3.043478261,0.0711,-32.47373448,0.2121,-15.43352601,0.1463,-17.04607273,,,,
Forth-RRT,Forth,Z,Z,RRT,Z,Z,-0.854700855,0.1276,-16.62404092,0.1956,0.579710145,0.0694,0,0.3141,-4.046242775,0.166,-4.189054881,,,,
Forth,Forth,Z,Z,Z,Z,Z,,0.1287,,0.2346,,0.069,,0.3141,,0.173,,,,,
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,-44.43826474,0.0999,-29.5,0.0987,-30.26706231,0.047,-3.744043567,0.1414,-45.33273783,0.1224,-30.65642169,,,,
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,-41.21245829,0.1057,-31.35714286,0.0961,-30.26706231,0.047,-0.816882233,0.1457,-45.02009826,0.1231,-29.73472879,,,,
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,-14.9054505,0.153,-0.5,0.1393,0,0.0674,-1.293396869,0.145,0,0.2239,-3.339769474,,,,
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,,0.1798,,0.14,,0.0674,,0.1469,,0.2239,,,,,
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,-20.59773829,0.0983,-53.26231691,0.0702,-49.90176817,0.0255,-7.122708039,0.1317,-44.90421456,0.0719,-35.15774919,,,,
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,-44.58804523,0.0686,-55.45938748,0.0669,-50.88408644,0.025,-7.122708039,0.1317,-47.20306513,0.0689,-41.05145847,,,,
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,39.82229402,0.1731,-0.732356858,0.1491,3.143418468,0.0525,0,0.1418,-2.298850575,0.1275,7.986901012,,,,
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,,0.1238,,0.1502,,0.0509,,0.1418,,0.1305,,,,,
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,-44.43826474,0.0999,-29.5,0.0987,-30.26706231,0.047,-3.744043567,0.1414,-45.33273783,0.1224,-30.65642169,,,,
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,-41.21245829,0.1057,-31.35714286,0.0961,-30.26706231,0.047,-0.816882233,0.1457,-45.02009826,0.1231,-29.73472879,,,,
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,-14.9054505,0.153,-0.5,0.1393,0,0.0674,-1.293396869,0.145,0,0.2239,-3.339769474,,,,
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,,0.1798,,0.14,,0.0674,,0.1469,,0.2239,,,,,
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,-22.5666907,0.1074,-50.07194245,0.0694,-57.36434109,0.0275,-27.73352643,0.0998,-54.96724891,0.0825,-42.54074991,,,,
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,-24.00865177,0.1054,-54.96402878,0.0626,-56.12403101,0.0283,-27.73352643,0.0998,-50.05458515,0.0915,-42.57696463,,,,
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,24.00865177,0.172,-1.726618705,0.1366,-9.76744186,0.0582,0,0.1381,-8.788209607,0.1671,0.745276319,,,,
