Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in CF,Bach,% change in CF,Beethoven,% change in CF,Chopin,% change in CF,Gibbons,% change in CF,Mozart,,,,Average,Average summing over all individually
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,,1.6766,,2.4413,,1.9019,,1.4605,,2.3793,,,,,
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793,,,,,
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,,1.9704,,2.1421,,1.8643,,1.5136,,1.8339,,,,,
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,,1.8367,,2.0317,,1.7857,,1.5136,,1.7616,,,,,
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,,1.8005,,1.7946,,1.6693,,1.4416,,1.5956,,,,,
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,,1.7488,,1.7597,,1.6326,,1.4416,,1.5502,,,,,
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,,1.8184,,2.8748,,2.001,,1.5346,,2.8874,,,,,
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,,1.7322,,2.7125,,1.999,,1.5275,,2.8312,,,,,
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,,1.6766,,2.4413,,1.9019,,1.4605,,2.3793,,,,,
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793,,,,,
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,,1.9864,,2.2003,,1.8012,,1.5417,,2.6505,,,,,
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,,1.9136,,2.029,,1.8527,,1.5417,,2.6464,,,,,
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,,1.8601,,1.9035,,1.6123,,1.4735,,2.2359,,,,,
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,,1.8139,,1.8009,,1.6627,,1.4735,,2.2445,,,,,
