Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,,Bach,,Beethoven,,Chopin,,Gibbons,,Mozart
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,,2.7795,,3.5356,,3.0832,,2.22,,3.7996
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,,2.639,,4.0262,,3.278,,2.0813,,3.9727
ForthBB-RRT,Forth,BB,Z,RRT,Z,Z,,1.1585,,0.9355,,1.1186,,1.0954,,1.3457
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,,1.7488,,2.3919,,1.7422,,1.5782,,2.5349
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,,1.8413,,1.0427,,1.1566,,1.0882,,1.3488
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,,1.7488,,2.3919,,1.7422,,1.5782,,2.5349
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,,1.8601,,1.9035,,1.6123,,1.4735,,2.2359
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,,1.6766,,2.4413,,1.9019,,1.4605,,2.3793
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,,1.8005,,1.7946,,1.6693,,1.4416,,1.5956
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,,1.6766,,2.4413,,1.9019,,1.4605,,2.3793
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,,2.6875,,3.8741,,3.7796,,2.3125,,4.2228
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,,2.6107,,4.0157,,3.2729,,2.0813,,3.9636
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,,2.6777,,3.845,,2.9685,,2.22,,3.7265
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,,2.6107,,4.0157,,3.2729,,2.0813,,3.9727
ForthBB,Forth,BB,Z,Z,Z,Z,,1.2327,,0.804,,1.0603,,1.0954,,1.3732
ForthCTBB,Forth,BB,Z,Z,CT,Z,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239
ForthRBB,Forth,BB,Z,Z,Z,R,,1.8367,,1.2669,,1.1174,,1.0882,,1.3488
ForthRCTBB,Forth,BB,Z,Z,CT,R,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,,1.8139,,1.8009,,1.6627,,1.4735,,2.2445
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,,1.7488,,1.7597,,1.6326,,1.4416,,1.5502
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793
