Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart,,Average
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,0.1332,0.1932,0.1435,0.1749,0.284,23.5,0.18576
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,0.135,0.2447,0.0903,0.2231,0.2794,24.5,0.1945
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,0.1525,0.1792,0.0643,0.1593,0.2585,25.5,0.16276
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,0.1406,0.3219,0.1119,0.2491,0.2125,26.5,0.2072
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,0.1525,0.1792,0.0643,0.1593,0.2399,27.5,0.15904
ForthBB-RRT,Forth,BB,Z,RRT,Z,Z,0.153,0.224,0.134,0.2542,0.2071,28.5,0.19446
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,0.2533,0.3608,0.1993,0.3128,0.5107,29.5,0.32738
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,0.248,0.1884,0.1234,0.2233,0.2775,30.5,0.21212
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,0.2533,0.3608,0.1993,0.3128,0.5107,31.5,0.32738
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,0.2061,0.3794,0.2438,0.299,0.3928,32.5,0.30422
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,0.1512,0.1733,0.1077,0.1769,0.2617,33.5,0.17416
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,0.2007,0.4225,0.2728,0.2849,0.3459,34.5,0.30536
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,0.1512,0.1733,0.1077,0.1769,0.2617,35.5,0.17416
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,0.1104,0.0988,0.0313,0.1064,0.1477,0.5,0.09892
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,0.1605,0.1041,0.0306,0.1314,0.2101,1.5,0.12734
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,0.1098,0.0883,0.0197,0.0959,0.1173,2.5,0.0862
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,0.1605,0.1041,0.0306,0.1314,0.194,3.5,0.12412
Forth,Forth,Z,Z,Z,Z,Z,0.1287,0.2346,0.069,0.3141,0.173,4.5,0.18388
ForthCT,Forth,Z,Z,Z,CT,Z,0.2423,0.4436,0.1525,0.3285,0.4731,5.5,0.328
ForthR,Forth,Z,Z,Z,Z,R,0.2254,0.1512,0.0711,0.2778,0.2174,6.5,0.18858
ForthRCT,Forth,Z,Z,Z,CT,R,0.2423,0.4436,0.1525,0.3285,0.4731,7.5,0.328
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,0.1387,0.139,0.0645,0.1381,0.1832,8.5,0.1327
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,0.1798,0.14,0.0674,0.1469,0.2239,9.5,0.1516
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,0.1238,0.1502,0.0509,0.1418,0.1305,10.5,0.11944
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,0.1798,0.14,0.0674,0.1469,0.2239,11.5,0.1516
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,0.1149,0.5477,0.1969,0.4367,0.4611,12.5,0.35146
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,0.1294,0.321,0.1658,0.255,0.369,13.5,0.24804
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,0.1082,0.4823,0.2817,0.4682,0.4154,14.5,0.35116
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,0.1294,0.321,0.1658,0.255,0.3398,15.5,0.2422
ForthSegment,Forth,Segment,Z,Z,Z,Z,0.1308,0.3102,0.2707,0.2467,0.2756,16.5,0.2468
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,0.1986,0.4784,0.2217,0.3133,0.5178,17.5,0.34596
ForthRSegment,Forth,Segment,Z,Z,Z,R,0.1989,0.2932,0.2288,0.2291,0.3447,18.5,0.25894
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,0.1986,0.4784,0.2217,0.3133,0.5178,19.5,0.34596
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,0.211,0.5729,0.4175,0.4655,0.5325,20.5,0.43988
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,0.1544,0.1867,0.1435,0.1798,0.284,21.5,0.18968
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,0.1899,0.5509,0.4729,0.4242,0.5026,22.5,0.4281
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,0.1544,0.1867,0.1435,0.1798,0.284,23.5,0.18968
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,0.1222,0.3393,0.0928,0.2231,0.2724,24.5,0.20996
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,0.1543,0.1645,0.0643,0.1593,0.2599,25.5,0.16046
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,0.1127,0.2564,0.1182,0.2491,0.2556,26.5,0.1984
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,0.1543,0.1645,0.0643,0.1593,0.2413,27.5,0.15674
ForthBB,Forth,BB,Z,Z,Z,Z,0.1312,0.2805,0.1292,0.2542,0.2161,28.5,0.20224
ForthCTBB,Forth,BB,Z,Z,CT,Z,0.2368,0.467,0.1992,0.3128,0.5086,29.5,0.34488
ForthRBB,Forth,BB,Z,Z,Z,R,0.2169,0.239,0.1272,0.2233,0.2775,30.5,0.21678
ForthRCTBB,Forth,BB,Z,Z,CT,R,0.2368,0.467,0.1992,0.3128,0.5086,31.5,0.34488
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,0.1909,0.4018,0.2425,0.299,0.4195,32.5,0.31074
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,0.176,0.1725,0.1076,0.1826,0.2617,33.5,0.18008
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,0.1874,0.4161,0.2758,0.2849,0.3433,34.5,0.3015
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,0.176,0.1725,0.1076,0.1826,0.2617,35.5,0.18008
