Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in TLF1,Bach,% change in TLF1,Beethoven,% change in TLF1,Chopin,% change in TLF1,Gibbons,% change in TLF1,Mozart,Average over pieces,,,Average over all cases
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,-9.8952,0.2322,24.1034,0.4464,18.2669,0.3412,-7.5814,0.2243,0.5136,0.3914,5.0815,,,
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,-15.5995,0.2175,49.5135,0.5378,17.5043,0.339,-7.5814,0.2243,8.1921,0.4213,10.4058,,,
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,8.7699,0.2803,-12.8996,0.3133,-3.6049,0.2781,0.0000,0.2427,0.0000,0.3894,-1.5469,,,
ForthRSegment,Forth,Segment,Z,Z,Z,R,,0.2577,,0.3597,,0.2885,,0.2427,,0.3894,,,,
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,5.8286,0.2778,-17.2071,0.4749,5.5003,0.3395,-1.3655,0.3106,-18.7820,0.4761,-5.2051,,,
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,-3.3905,0.2536,-6.6771,0.5353,5.4071,0.3392,-1.3655,0.3106,-18.1849,0.4796,-4.8422,,,
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,7.6952,0.2827,-21.9491,0.4477,0.1554,0.3223,0.0000,0.3149,0.6312,0.5899,-2.6935,,,
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,,0.2625,,0.5736,,0.3218,,0.3149,,0.5862,,,,
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,31.3616,0.2354,4.9550,0.3961,1.1855,0.3414,-5.1053,0.2342,14.9158,0.396,9.4625,,,
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,0.0000,0.1792,12.6126,0.425,6.9057,0.3607,-5.1053,0.2342,18.0499,0.4068,6.4926,,,
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,31.3616,0.2354,-14.9444,0.321,-2.5785,0.3287,0.0000,0.2468,-2.7278,0.3352,2.2222,,,
ForthSegment,Forth,Segment,Z,Z,Z,Z,,0.1792,,0.3774,,0.3374,,0.2468,,0.3446,,,,
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,-38.8841,0.1424,17.5708,0.2991,-6.3415,0.2112,20.9914,0.2807,-15.6426,0.3144,-4.4612,,,
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,-34.8927,0.1517,12.1855,0.2854,-6.3858,0.2111,19.1810,0.2765,-16.0451,0.3129,-5.1914,,,
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,-12.4034,0.2041,3.4591,0.2632,0.0443,0.2256,-3.1034,0.2248,0.0000,0.3727,-2.4007,,,
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,,0.233,,0.2544,,0.2255,,0.232,,0.3727,,,,
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,-18.1744,0.1999,-18.2891,0.4986,-31.3999,0.4175,-7.0872,0.3579,-18.9016,0.4548,-18.7704,,,
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,-34.0974,0.161,-23.4841,0.4669,-33.0595,0.4074,-7.0872,0.3579,-22.2361,0.4361,-23.9929,,,
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,4.5436,0.2554,1.3438,0.6184,1.7088,0.619,0.0000,0.3852,-0.6776,0.557,1.3837,,,
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,,0.2443,,0.6102,,0.6086,,0.3852,,0.5608,,,,
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,-38.8841,0.1424,17.5708,0.2991,-6.3415,0.2112,20.9914,0.2807,-15.6426,0.3144,-4.4612,,,
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,-34.8927,0.1517,12.1855,0.2854,-6.3858,0.2111,19.1810,0.2765,-16.0451,0.3129,-5.1914,,,
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,-12.4034,0.2041,3.4591,0.2632,0.0443,0.2256,-3.1034,0.2248,0.0000,0.3727,-2.4007,,,
