Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,0.1187,0.1043,0.0435,0.1802,0.1120
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,0.1622,0.1083,0.0442,0.1802,0.1155
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,0.1551,0.3104,0.2274,0.3360,0.2893
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,0.1916,0.3397,0.2346,0.3360,0.3086
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,0.1610,0.4669,0.4074,0.3579,0.4361
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,0.1999,0.4986,0.4175,0.3579,0.4548
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,0.1690,0.0994,0.0502,0.1456,0.1449
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,0.1776,0.1069,0.0485,0.1456,0.1335
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,0.2214,0.3253,0.1839,0.2700,0.3318
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,0.2090,0.3189,0.1932,0.2700,0.3094
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,0.2489,0.5051,0.3690,0.3555,0.4370
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,0.2251,0.4883,0.3753,0.3555,0.4268
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,0.2817,0.1974,0.1020,0.1909,0.3126
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,0.2439,0.1966,0.1020,0.1855,0.3126
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,0.2741,0.2399,0.1663,0.2417,0.3530
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,0.2398,0.2403,0.1663,0.2350,0.3530
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,0.2330,0.2544,0.2255,0.2320,0.3727
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,0.2041,0.2632,0.2256,0.2248,0.3727
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,0.2817,0.1974,0.1020,0.1909,0.3126
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,0.2439,0.1966,0.1020,0.1855,0.3126
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,0.2741,0.2399,0.1663,0.2417,0.3530
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,0.2398,0.2403,0.1663,0.2350,0.3530
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,0.2330,0.2544,0.2255,0.2320,0.3727
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,0.2041,0.2632,0.2256,0.2248,0.3727
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,0.1892,0.1838,0.0779,0.1803,0.1817
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,0.2478,0.1829,0.0800,0.1803,0.1778
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,0.2521,0.4783,0.3883,0.3179,0.4182
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,0.2710,0.4785,0.3910,0.3179,0.4151
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,0.2443,0.6102,0.6086,0.3852,0.5608
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,0.2554,0.6184,0.6190,0.3852,0.5570
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,0.2081,0.1765,0.0998,0.1825,0.2400
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,0.2576,0.1720,0.0907,0.1825,0.2262
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,0.2680,0.4865,0.3402,0.3243,0.4736
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,0.2877,0.4551,0.3441,0.3243,0.4462
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,0.2828,0.6482,0.5541,0.3961,0.5558
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,0.2893,0.6173,0.5530,0.3961,0.5473
