Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.4360,0.7790,0.7414,0.4259,0.7028
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,0.4401,0.2369,0.1660,0.2853,0.2991
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,0.4629,0.2366,0.1681,0.2853,0.2932
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,0.4201,0.6018,0.6554,0.4799,0.5376
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,0.4615,0.6029,0.6896,0.4799,0.5494
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,0.3423,0.7375,0.8534,0.4139,0.6540
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,0.3674,0.7982,0.8641,0.4139,0.6430
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,0.4266,0.2420,0.2206,0.2691,0.3476
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,0.5126,0.2323,0.2062,0.2691,0.3502
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,0.4517,0.6164,0.5695,0.3586,0.5777
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,0.4763,0.5852,0.5842,0.3586,0.5685
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,0.4289,0.7872,0.8821,0.3693,0.6454
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,0.4289,0.7541,0.8614,0.3693,0.6534
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,0.6501,0.3349,0.2098,0.2725,0.5178
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,0.6021,0.3341,0.2098,0.2576,0.5178
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,0.6183,0.3940,0.3654,0.3575,0.5422
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,0.5788,0.3916,0.3654,0.3497,0.5422
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,0.4741,0.3994,0.5273,0.3267,0.5416
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,0.4360,0.4125,0.5273,0.3147,0.5416
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,0.6501,0.3349,0.2098,0.2725,0.5178
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,0.6021,0.3341,0.2098,0.2576,0.5178
