Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart,,
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,0.492,0.4891,0.3961,0.326,0.5506,24.5,0.45076
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,0.4316,0.297,0.3293,0.34,0.446,25.5,0.36878
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,0.492,0.5662,0.4958,0.3386,0.5062,26.5,0.47976
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,0.4316,0.297,0.3293,0.34,0.446,27.5,0.36878
ForthBB-RRT,Forth,BB,Z,RRT,Z,Z,0.1816,0.4085,0.3487,0.2521,0.4104,28.5,0.32026
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,0.52,0.547,0.5689,0.3196,0.6742,29.5,0.52594
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,0.3592,0.4288,0.3509,0.2498,0.4096,30.5,0.35966
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,0.52,0.547,0.5689,0.3196,0.6742,31.5,0.52594
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,0.4763,0.5685,0.5842,0.3543,0.5163,32.5,0.49992
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,0.5788,0.3916,0.3654,0.3497,0.5422,33.5,0.44554
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,0.4169,0.5516,0.6896,0.3596,0.5188,34.5,0.5073
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,0.5788,0.3916,0.3654,0.3497,0.5422,35.5,0.44554
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,0.5766,0.1978,0.2635,0.2009,0.3725,0.5,0.32226
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,0.818,0.1948,0.2098,0.3152,0.4002,1.5,0.3876
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,0.6877,0.196,0.149,0.1452,0.329,2.5,0.30138
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,0.818,0.1948,0.2098,0.3152,0.4002,3.5,0.3876
Forth,Forth,Z,Z,Z,Z,Z,0.2157,0.4854,0.2912,0.3141,0.3679,4.5,0.33486
ForthCT,Forth,Z,Z,Z,CT,Z,0.5468,0.7213,0.4843,0.3362,0.6725,5.5,0.55222
ForthR,Forth,Z,Z,Z,Z,R,0.3886,0.3545,0.2858,0.3196,0.37,6.5,0.3437
ForthRCT,Forth,Z,Z,Z,CT,R,0.5468,0.7213,0.4843,0.3362,0.6725,7.5,0.55222
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,0.4172,0.242,0.2206,0.2691,0.3476,8.5,0.2993
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,0.6501,0.3349,0.2098,0.2725,0.5178,9.5,0.39702
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,0.4015,0.2369,0.166,0.2475,0.2991,10.5,0.2702
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,0.6501,0.3349,0.2098,0.2725,0.5178,11.5,0.39702
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,0.421,0.838,0.7848,0.3437,0.6925,12.5,0.616
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,0.4516,0.5896,0.6906,0.4846,0.5779,13.5,0.55886
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,0.4471,0.6629,0.7946,0.3226,0.6258,14.5,0.5706
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,0.4516,0.5896,0.6906,0.4846,0.5757,15.5,0.55842
ForthSegment,Forth,Segment,Z,Z,Z,Z,0.2844,0.4816,0.4477,0.2468,0.4595,16.5,0.384
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,0.3867,0.716,0.5867,0.3166,0.6754,17.5,0.53628
