Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in R3,Bach,% change in R3,Beethoven,% change in R3,Chopin,% change in R3,Gibbons,% change in R3,Mozart,Average % change in R3,,Average change over all cases,
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,0,0.2844,40.71843854,0.6777,27.20571811,0.5695,1.13452188,0.2496,28.92274211,0.5924,19.59628413,,,
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,2.285513361,0.2909,-13.82890365,0.415,-4.846995756,0.426,0,0.2468,0,0.4595,-3.27807721,,,
ForthSegment,Forth,Segment,Z,Z,Z,Z,,0.2844,,0.4816,,0.4477,,0.2468,,0.4595,,,,
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,-8.036279266,0.436,95.04256385,0.779,40.60307225,0.7414,30.36424855,0.4259,29.76366322,0.7028,37.54745372,,,
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,0,0.4741,95.04256385,0.779,40.60307225,0.7414,25.77288032,0.4109,29.76366322,0.7028,38.23643593,,,
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,-8.036279266,0.436,3.27991988,0.4125,0,0.5273,-3.673094582,0.3147,0,0.5416,-1.685890794,,,
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,,0.4741,,0.3994,,0.5273,,0.3267,,0.5416,,,,
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,7.332749051,0.3674,16.71296973,0.7982,1.253808296,0.8641,17.3185941,0.4139,1.387574898,0.643,8.801139216,,,
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,0,0.3423,7.837403129,0.7375,0,0.8534,17.3185941,0.4139,3.122043519,0.654,5.655608151,,,
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,7.332749051,0.3674,-0.365550519,0.6814,1.253808296,0.8641,0,0.3528,-3.122043519,0.6144,1.019792662,,,
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,,0.3423,,0.6839,,0.8534,,0.3528,,0.6342,,,,
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,-8.036279266,0.436,95.04256385,0.779,40.60307225,0.7414,30.36424855,0.4259,29.76366322,0.7028,37.54745372,,,
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,0,0.4741,95.04256385,0.779,40.60307225,0.7414,25.77288032,0.4109,29.76366322,0.7028,38.23643593,,,
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,-8.036279266,0.436,3.27991988,0.4125,0,0.5273,-3.673094582,0.3147,0,0.5416,-1.685890794,,,
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,,0.4741,,0.3994,,0.5273,,0.3267,,0.5416,,,,
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,0,0.4289,1.072242327,0.7541,4.589606605,0.8614,7.136640557,0.3693,12.4419205,0.6534,5.048081997,,,
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,0,0.4289,5.508644954,0.7872,7.102962603,0.8821,7.136640557,0.3693,11.06522113,0.6454,6.162693849,,,
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,0,0.4289,-2.144484654,0.7301,1.28703254,0.8342,0,0.3447,-0.980898296,0.5754,-0.367670082,,,
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,,0.4289,,0.7461,,0.8236,,0.3447,,0.5811,,,,
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,-42.61613692,0.4694,4.414784394,0.2034,0,0.2098,0,0.3152,0,0.4002,-7.640270505,,,
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,0,0.818,0,0.1948,0,0.2098,0,0.3152,0,0.4002,0,,,
