Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,,Bach,,Beethoven,,Chopin,,Gibbons,,Mozart,,
ForthBB-RRT,Forth,BB,,RRT,Z,Z,28.5,0.1661,28.5,0.2894,28.5,0.1936,28.5,0.2532,28.5,0.2753,28.5,0.23552
ForthCTBB-RRT,Forth,BB,,RRT,CT,Z,29.5,0.3406,29.5,0.4348,29.5,0.2952,29.5,0.3162,29.5,0.5812,29.5,0.3936
ForthRBB-RRT,Forth,BB,,RRT,Z,R,30.5,0.2934,30.5,0.2618,30.5,0.1826,30.5,0.2358,30.5,0.3309,30.5,0.2609
ForthRCTBB-RRT,Forth,BB,,RRT,CT,R,31.5,0.3406,31.5,0.4348,31.5,0.2952,31.5,0.3162,31.5,0.5812,31.5,0.3936
SIATECCompressBB-RRT,SIATECCompress,BB,,RRT,Z,Z,32.5,0.2877,32.5,0.4551,32.5,0.3441,32.5,0.3243,32.5,0.4462,32.5,0.37148
SIACTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,Z,33.5,0.2398,33.5,0.2403,33.5,0.1663,33.5,0.235,33.5,0.353,33.5,0.24688
SIARTECCompressBB-RRT,SIATECCompress,BB,,RRT,Z,R,34.5,0.271,34.5,0.4785,34.5,0.391,34.5,0.3179,34.5,0.4151,34.5,0.3747
SIARCTTECCompressBB-RRT,SIATECCompress,BB,,RRT,CT,R,35.5,0.2398,35.5,0.2403,35.5,0.1663,35.5,0.235,35.5,0.353,35.5,0.24688
COSIATEC,COSIATEC,Z,,,Z,Z,0.5,0.1853,0.5,0.1318,0.5,0.056,0.5,0.1391,0.5,0.2116,0.5,0.14476
COSIACTTEC,COSIATEC,Z,,,CT,Z,1.5,0.2684,1.5,0.1357,1.5,0.0535,1.5,0.1855,1.5,0.2755,1.5,0.18372
COSIARTEC,COSIATEC,Z,,,Z,R,2.5,0.1893,2.5,0.1217,2.5,0.0348,2.5,0.1155,2.5,0.173,2.5,0.12686
COSIARCTTEC,COSIATEC,Z,,,CT,R,3.5,0.2684,3.5,0.1357,3.5,0.0535,3.5,0.1855,3.5,0.2613,3.5,0.18088
Forth,Forth,Z,,,Z,Z,4.5,0.1612,4.5,0.3163,4.5,0.1115,4.5,0.3141,4.5,0.2354,4.5,0.2277
ForthCT,Forth,Z,,,CT,Z,5.5,0.3358,5.5,0.5493,5.5,0.232,5.5,0.3323,5.5,0.5554,5.5,0.40096
ForthR,Forth,Z,,,Z,R,6.5,0.2853,6.5,0.212,6.5,0.1138,6.5,0.2973,6.5,0.2738,6.5,0.23644
ForthRCT,Forth,Z,,,CT,R,7.5,0.3358,7.5,0.5493,7.5,0.232,7.5,0.3323,7.5,0.5554,7.5,0.40096
SIATECCompress,SIATECCompress,Z,,,Z,Z,8.5,0.2081,8.5,0.1765,8.5,0.0998,8.5,0.1825,8.5,0.24,8.5,0.18138
SIACTTECCompress,SIATECCompress,Z,,,CT,Z,9.5,0.2817,9.5,0.1974,9.5,0.102,9.5,0.1909,9.5,0.3126,9.5,0.21692
SIARTECCompress,SIATECCompress,Z,,,Z,R,10.5,0.1892,10.5,0.1838,10.5,0.0779,10.5,0.1803,10.5,0.1817,10.5,0.16258
SIARCTTECCompress,SIATECCompress,Z,,,CT,R,11.5,0.2817,11.5,0.1974,11.5,0.102,11.5,0.1909,11.5,0.3126,11.5,0.21692
COSIATECSegment,COSIATEC,Segment,,,Z,Z,12.5,0.1806,12.5,0.6624,12.5,0.3148,12.5,0.3846,12.5,0.5536,12.5,0.4192
COSIACTTECSegment,COSIATEC,Segment,,,CT,Z,13.5,0.2012,13.5,0.4157,13.5,0.2674,13.5,0.3342,13.5,0.4504,13.5,0.33378
COSIARTECSegment,COSIATEC,Segment,,,Z,R,14.5,0.1743,14.5,0.5584,14.5,0.4159,14.5,0.382,14.5,0.4994,14.5,0.406
COSIARCTTECSegment,COSIATEC,Segment,,,CT,R,15.5,0.2012,15.5,0.4157,15.5,0.2674,15.5,0.3342,15.5,0.4273,15.5,0.32916
ForthSegment,Forth,Segment,,,Z,Z,16.5,0.1792,16.5,0.3774,16.5,0.3374,16.5,0.2468,16.5,0.3446,16.5,0.29708
ForthCTSegment,Forth,Segment,,,CT,Z,17.5,0.2625,17.5,0.5736,17.5,0.3218,17.5,0.3149,17.5,0.5862,17.5,0.4118
ForthRSegment,Forth,Segment,,,Z,R,18.5,0.2577,18.5,0.3597,18.5,0.2885,18.5,0.2427,18.5,0.3894,18.5,0.3076
ForthRCTSegment,Forth,Segment,,,CT,R,19.5,0.2625,19.5,0.5736,19.5,0.3218,19.5,0.3149,19.5,0.5862,19.5,0.4118
SIATECCompressSegment,SIATECCompress,Segment,,,Z,Z,20.5,0.2828,20.5,0.6482,20.5,0.5541,20.5,0.3961,20.5,0.5558,20.5,0.4874
SIACTTECCompressSegment,SIATECCompress,Segment,,,CT,Z,21.5,0.233,21.5,0.2544,21.5,0.2255,21.5,0.232,21.5,0.3727,21.5,0.26352
SIARTECCompressSegment,SIATECCompress,Segment,,,Z,R,22.5,0.2443,22.5,0.6102,22.5,0.6086,22.5,0.3852,22.5,0.5608,22.5,0.48182
SIARCTTECCompressSegment,SIATECCompress,Segment,,,CT,R,23.5,0.233,23.5,0.2544,23.5,0.2255,23.5,0.232,23.5,0.3727,23.5,0.26352
COSIATECBB,COSIATEC,BB,,,Z,Z,24.5,0.1976,24.5,0.4524,24.5,0.1598,24.5,0.2649,24.5,0.3645,24.5,0.28784
COSIACTTECBB,COSIATEC,BB,,,CT,Z,25.5,0.2562,25.5,0.2025,25.5,0.1076,25.5,0.217,25.5,0.3284,25.5,0.22234
COSIARTECBB,COSIATEC,BB,,,Z,R,26.5,0.1912,26.5,0.3365,26.5,0.1946,26.5,0.287,26.5,0.333,26.5,0.26846
COSIARCTTECBB,COSIATEC,BB,,,CT,R,27.5,0.2562,27.5,0.2025,27.5,0.1076,27.5,0.217,27.5,0.3131,27.5,0.21928
ForthBB,Forth,BB,,,Z,Z,28.5,0.1629,28.5,0.3513,28.5,0.1882,28.5,0.2532,28.5,0.2831,28.5,0.24774
ForthCTBB,Forth,BB,,,CT,Z,29.5,0.3254,29.5,0.5652,29.5,0.295,29.5,0.3162,29.5,0.5798,29.5,0.41632
ForthRBB,Forth,BB,,,Z,R,30.5,0.2704,30.5,0.3065,30.5,0.1867,30.5,0.2358,30.5,0.3309,30.5,0.26606
ForthRCTBB,Forth,BB,,,CT,R,31.5,0.3254,31.5,0.5652,31.5,0.295,31.5,0.3162,31.5,0.5798,31.5,0.41632
SIATECCompressBB,SIATECCompress,BB,,,Z,Z,32.5,0.268,32.5,0.4865,32.5,0.3402,32.5,0.3243,32.5,0.4736,32.5,0.37852
SIACTTECCompressBB,SIATECCompress,BB,,,CT,Z,33.5,0.2741,33.5,0.2399,33.5,0.1663,33.5,0.2417,33.5,0.353,33.5,0.255
SIARTECCompressBB,SIATECCompress,BB,,,Z,R,34.5,0.2521,34.5,0.4783,34.5,0.3883,34.5,0.3179,34.5,0.4182,34.5,0.37096
SIARCTTECCompressBB,SIATECCompress,BB,,,CT,R,35.5,0.2741,35.5,0.2399,35.5,0.1663,35.5,0.2417,35.5,0.353,35.5,0.255
